Timestamp,TagID,x(m),y(m),theta(rad),
2020-03-10T17:00:07.952404+00:00,42,0.363446,-0.420299,0.0934242,
2020-03-10T17:00:07.982727+00:00,42,0.363009,-0.418553,0.0834562,
2020-03-10T17:00:08.014639+00:00,42,0.36302,-0.417174,0.0838592,
2020-03-10T17:00:08.047633+00:00,42,0.362797,-0.415894,0.0853396,
2020-03-10T17:00:08.078765+00:00,42,0.362632,-0.414153,0.0854704,
2020-03-10T17:00:08.116095+00:00,42,0.362632,-0.414153,0.0854704,
2020-03-10T17:00:08.146674+00:00,42,0.362731,-0.41304,0.0865288,
2020-03-10T17:00:08.178687+00:00,42,0.362835,-0.41255,0.0883901,
2020-03-10T17:00:08.216169+00:00,42,0.36305,-0.412285,0.0901643,
2020-03-10T17:00:08.247901+00:00,42,0.362745,-0.410886,0.0871678,
2020-03-10T17:00:08.278381+00:00,42,0.362478,-0.409614,0.0857173,
2020-03-10T17:00:08.315806+00:00,42,0.362047,-0.408093,0.085494,
2020-03-10T17:00:08.346851+00:00,42,0.3614,-0.4065,0.0885424,
2020-03-10T17:00:08.383074+00:00,42,0.361298,-0.405921,0.0910694,
2020-03-10T17:00:08.415210+00:00,42,0.36149,-0.404943,0.0939821,
2020-03-10T17:00:08.447097+00:00,42,0.361575,-0.404304,0.0927823,
2020-03-10T17:00:08.478368+00:00,42,0.361576,-0.40298,0.0852963,
2020-03-10T17:00:08.514503+00:00,42,0.361383,-0.401204,0.0814631,
2020-03-10T17:00:08.546638+00:00,42,0.361115,-0.400078,0.0810257,
2020-03-10T17:00:08.578569+00:00,42,0.360963,-0.398941,0.0833161,
2020-03-10T17:00:08.615550+00:00,42,0.360855,-0.397804,0.0863144,
2020-03-10T17:00:08.647598+00:00,42,0.360798,-0.397307,0.0849525,
2020-03-10T17:00:08.678608+00:00,42,0.361026,-0.396551,0.0907444,
2020-03-10T17:00:08.715349+00:00,42,0.360923,-0.396184,0.0921435,
2020-03-10T17:00:08.746293+00:00,42,0.360986,-0.395256,0.0904104,
2020-03-10T17:00:08.778440+00:00,42,0.360524,-0.394152,0.087242,
2020-03-10T17:00:08.816474+00:00,42,0.360081,-0.392437,0.0904505,
2020-03-10T17:00:08.847705+00:00,42,0.359953,-0.391471,0.0836173,
2020-03-10T17:00:08.878400+00:00,42,0.359751,-0.389778,0.0856617,
